index,id_sample,id_hole,keypoint,method,method_param,metric_value,metric_type,length_hole
28885,389,-1,all,GRU,type-GRU_mu_sigma-True,0.038952093603257895,mean_uncertainty,52.0
28886,389,-1,all,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,52.0
28887,389,-1,all,GRU,type-GRU_mu_sigma-False,0.01491734472213289,MPJPE,52.0
28888,389,-1,all,GRU,type-GRU_mu_sigma-False,0.016684867585659957,RMSE,52.0
28889,389,-1,all,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,52.0
28890,389,-1,all,transformer,type-transformer_mu_sigma-False,0.017010517372915254,MPJPE,52.0
28891,389,-1,all,transformer,type-transformer_mu_sigma-False,0.019525637290137204,RMSE,52.0
28892,390,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,0.029522223086088692,RMSE,50.0
28893,390,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,0.027468007336899167,MPJPE,50.0
28894,390,0,kp1_animal1,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,50.0
28895,390,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,0.019420422331699248,RMSE,50.0
28896,390,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,0.01625743443542071,MPJPE,50.0
28897,390,0,kp1_animal1,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,50.0
28898,390,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,0.027285916547230737,RMSE,50.0
28899,390,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,0.025966863850270187,MPJPE,50.0
28900,390,0,kp1_animal1,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,50.0
28901,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.009618753772297628,RMSE,50.0
28902,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.008557414342768454,MPJPE,50.0
28903,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,50.0
28904,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.020259628295898436,mean_uncertainty,50.0
28905,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.022014617919921875,max_uncertainty,50.0
28906,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,50.0
28907,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-True,0.99,coverage_2sigma,50.0
28908,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.019612110134464504,RMSE,50.0
28909,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.01722594057748105,MPJPE,50.0
28910,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,50.0
28911,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.03130512224401165,mean_uncertainty,50.0
28912,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.03969573956176226,max_uncertainty,50.0
28913,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,50.0
28914,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-True,0.98,coverage_2sigma,50.0
28915,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,0.015078656891983466,RMSE,50.0
28916,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,0.013440802059968277,MPJPE,50.0
28917,390,0,kp1_animal1,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,50.0
28918,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,0.012229359744100877,RMSE,50.0
28919,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,0.01133099133790496,MPJPE,50.0
28920,390,0,kp1_animal1,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,50.0
28921,390,0,kp1_animal1,linear_interp,linear_interp,0.2971202656853345,RMSE,50.0
28922,390,0,kp1_animal1,linear_interp,linear_interp,0.2730651330707506,MPJPE,50.0
28923,390,0,kp1_animal1,linear_interp,linear_interp,1.0,PCK@0.01,50.0
28924,390,-1,all,linear_interp,linear_interp,1.0,PCK@0.01,50.0
28925,390,-1,all,linear_interp,linear_interp,0.2730651330707506,MPJPE,50.0
28926,390,-1,all,linear_interp,linear_interp,0.2971202656853345,RMSE,50.0
28927,390,-1,all,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,50.0
28928,390,-1,all,TCN,type-TCN_mu_sigma-False,0.027468007336899157,MPJPE,50.0
28929,390,-1,all,TCN,type-TCN_mu_sigma-False,0.029522223086088692,RMSE,50.0
28930,390,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,50.0
