metric_type,method,method_param,metric_value,repeat,dataset
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.313854620054809,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.5903143192805198,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.839904841545059,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.5358768503188949,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.6514945782909027,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.636654547587608,1,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.7168181036112573,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8606562533543106,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2371225682319413,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.472915288243282,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.7472629492075291,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.2015134524448785,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.5770835294527216,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.5686993041965288,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.5436783841759922,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.3643855021722374,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.27430773485867477,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.09798927950083701,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.055882957642692604,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.5377453984717921,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6712689633362954,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6852303336223593,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.7828536799720416,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.9194840514526901,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.3288597643446152,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.573251727565758,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.842183651179513,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.3975167418387715,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.6474590760461024,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.6376827412261602,2,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.6821695127133597,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8302637149411078,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.196612673298702,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.4595861030095292,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.6873261255279655,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.25912396199209,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.5704085095881881,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.5566244010393167,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.5659396376369288,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.3929771903793261,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.2523282882626987,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.11886897776636748,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.0605374114092362,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.5636398059381657,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6768604466642149,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6923841469400333,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.7458196073468584,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.8861073648801585,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2878416213343984,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.5581195116617732,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.7779717927183554,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.47076357274643,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.639251669722088,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.6230440756417017,3,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-False,0.7487895402403696,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,GRU,type-GRU_mu_sigma-True,0.8553397436074847,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,1.2545424088615866,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,1.545599164089326,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,TCN,type-TCN_mu_sigma-False,1.7645461932310325,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,linear_interp,linear_interp,1.295570473023368,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-False,0.6365252415134675,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
MPJPE,transformer,type-transformer_mu_sigma-True,0.6138450405727819,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-False,0.547227282906038,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,GRU,type-GRU_mu_sigma-True,0.4227971210881296,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,0.25651846137808093,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,0.1198146998413496,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,TCN,type-TCN_mu_sigma-False,0.06163359882739489,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,linear_interp,linear_interp,0.5457293625408819,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-False,0.6659281049213961,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
PCK@0.01,transformer,type-transformer_mu_sigma-True,0.6756420542349616,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-False,0.8181877282754713,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,GRU,type-GRU_mu_sigma-True,0.9211369811890344,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,1.3517129899402964,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,1.6472769739884654,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,TCN,type-TCN_mu_sigma-False,1.8673656185266778,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,linear_interp,linear_interp,1.4991884514159708,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-False,0.7131880436743383,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
RMSE,transformer,type-transformer_mu_sigma-True,0.6861593178648026,4,INH_FL2_keypoints_1_60_wresiduals_stride0.5
