index,id_sample,id_hole,keypoint,method,method_param,RMSE,MPJPE,PCK@0.01,mean_uncertainty,length_hole
14054,629,-1,all,transformer,type-transformer_mu_sigma-True,0.21438485480919983,0.19786524243353873,0.9772727272727273,0.028661121021617542,44.0
14055,629,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.35657073912804704,0.32502110237103343,0.8181818181818182,,44.0
14056,629,-1,all,TCN,type-TCN_mu_sigma-False,1.2167057390977094,1.0902334488688685,0.06818181818181818,,44.0
14057,629,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.4552899002207765,0.4299759894352082,0.5454545454545454,,44.0
14058,630,0,leg2_3,GRU,type-GRU_mu_sigma-True,0.5200788715545194,0.5152570161476672,0.0,,6.0
14059,630,0,leg2_3,GRU,type-GRU_mu_sigma-False,0.2836885967730378,0.2805693268181834,1.0,,6.0
14060,630,0,leg2_3,transformer,type-transformer_mu_sigma-False,0.19527519617372488,0.18504445420834514,1.0,,6.0
14061,630,0,leg2_3,transformer,type-transformer_mu_sigma-True,0.266090809605311,0.2607465404064732,1.0,,6.0
14062,630,0,leg2_3,transformer,type-transformer_mu_sigma-True,0.266090809605311,0.2607465404064732,1.0,,6.0
14063,630,0,leg2_3,STS_GCN,type-STS_GCN_mu_sigma-False,0.3540023035288572,0.3188653249498758,0.6666666666666666,,6.0
14064,630,0,leg2_3,TCN,type-TCN_mu_sigma-False,1.2332457548185511,0.7498442005983553,0.6666666666666666,,6.0
14065,630,0,leg2_3,ST_GCN,type-ST_GCN_mu_sigma-False,0.40403419240016675,0.3976302488363044,0.5,,6.0
14066,630,0,leg2_3,linear_interp,linear_interp,0.1292515255562219,0.11836167028651452,1.0,,6.0
14067,630,1,spine_0,GRU,type-GRU_mu_sigma-True,0.25830237165724085,0.2530763495103237,1.0,,6.0
14068,630,1,spine_0,GRU,type-GRU_mu_sigma-False,0.21079861757366777,0.20641986066543505,1.0,,6.0
14069,630,1,spine_0,transformer,type-transformer_mu_sigma-False,0.17008233675323636,0.16838592788731974,1.0,,6.0
14070,630,1,spine_0,transformer,type-transformer_mu_sigma-True,0.13998801728295174,0.13662886803774124,1.0,,6.0
14071,630,1,spine_0,transformer,type-transformer_mu_sigma-True,0.13998801728295174,0.13662886803774124,1.0,,6.0
14072,630,1,spine_0,STS_GCN,type-STS_GCN_mu_sigma-False,0.22650134714422146,0.20424513542077516,1.0,,6.0
14073,630,1,spine_0,TCN,type-TCN_mu_sigma-False,0.36450323787962835,0.3456216107931363,0.5,,6.0
14074,630,1,spine_0,ST_GCN,type-ST_GCN_mu_sigma-False,0.28041574242680856,0.27965463367195603,1.0,,6.0
14075,630,1,spine_0,linear_interp,linear_interp,0.3602121852293656,0.3395653297423742,0.5,,6.0
14076,630,-1,all,linear_interp,linear_interp,0.27060928960987785,0.22896350001444435,0.75,,12.0
14077,630,-1,all,GRU,type-GRU_mu_sigma-True,0.4106106110667244,0.3841666828289955,0.5,0.044147173430304755,12.0
14078,630,-1,all,GRU,type-GRU_mu_sigma-False,0.24991526274922132,0.24349459374180926,1.0,,12.0
14079,630,-1,all,transformer,type-transformer_mu_sigma-False,0.1831125385058708,0.17671519104783243,1.0,,12.0
14080,630,-1,all,transformer,type-transformer_mu_sigma-True,0.21260404974884872,0.19868770422210721,1.0,0.017459551493326824,12.0
14081,630,-1,all,transformer,type-transformer_mu_sigma-True,0.21260404974884872,0.19868770422210721,1.0,0.017459551493326824,12.0
14082,630,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.2971703982245576,0.2615552301853255,0.8333333333333334,,12.0
14083,630,-1,all,TCN,type-TCN_mu_sigma-False,0.9093287915277705,0.5477329056957457,0.5833333333333334,,12.0
14084,630,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.347761856181233,0.33864244125413023,0.75,,12.0
14085,631,0,leg2_0,GRU,type-GRU_mu_sigma-True,0.28827125736930675,0.28124427157239024,0.9444444444444444,,18.0
14086,631,0,leg2_0,GRU,type-GRU_mu_sigma-False,0.16227367943924026,0.15051046970286885,1.0,,18.0
14087,631,0,leg2_0,transformer,type-transformer_mu_sigma-False,0.21110667509868014,0.1868973680566804,1.0,,18.0
14088,631,0,leg2_0,transformer,type-transformer_mu_sigma-True,0.10462294371535986,0.10223499458291176,1.0,,18.0
14089,631,0,leg2_0,transformer,type-transformer_mu_sigma-True,0.10462294371535986,0.10223499458291176,1.0,,18.0
14090,631,0,leg2_0,STS_GCN,type-STS_GCN_mu_sigma-False,0.3492033506402269,0.3270649636692581,0.6111111111111112,,18.0
14091,631,0,leg2_0,TCN,type-TCN_mu_sigma-False,0.47909772867059963,0.45557342218501584,0.3888888888888889,,18.0
14092,631,0,leg2_0,ST_GCN,type-ST_GCN_mu_sigma-False,0.2001014651276735,0.18187552863611434,1.0,,18.0
