metric_type,method,method_param,metric_value,repeat,dataset
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,2,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,2,MABE_task1_60stride60
PCK@0.01,TCN,type-TCN_mu_sigma-False,1.0,2,MABE_task1_60stride60
PCK@0.01,linear_interp,linear_interp,1.0,2,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-False,1.0,2,MABE_task1_60stride60
PCK@0.01,transformer,type-transformer_mu_sigma-True,1.0,2,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-False,0.03646345591528723,2,MABE_task1_60stride60
RMSE,GRU,type-GRU_mu_sigma-True,0.03969794812086072,2,MABE_task1_60stride60
RMSE,STS_GCN,type-STS_GCN_mu_sigma-False,0.056987860107108504,2,MABE_task1_60stride60
RMSE,ST_GCN,type-ST_GCN_mu_sigma-False,0.04265969808407528,2,MABE_task1_60stride60
RMSE,TCN,type-TCN_mu_sigma-False,0.056082515682116585,2,MABE_task1_60stride60
RMSE,linear_interp,linear_interp,0.14468819098127067,2,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-False,0.03222741747603088,2,MABE_task1_60stride60
RMSE,transformer,type-transformer_mu_sigma-True,0.031236599142234506,2,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-False,0.032120843761455284,3,MABE_task1_60stride60
MPJPE,GRU,type-GRU_mu_sigma-True,0.03542676849314085,3,MABE_task1_60stride60
MPJPE,STS_GCN,type-STS_GCN_mu_sigma-False,0.04633637755404758,3,MABE_task1_60stride60
MPJPE,ST_GCN,type-ST_GCN_mu_sigma-False,0.03761619286795913,3,MABE_task1_60stride60
MPJPE,TCN,type-TCN_mu_sigma-False,0.04769736581037747,3,MABE_task1_60stride60
MPJPE,linear_interp,linear_interp,0.11975740032493587,3,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-False,0.026999549641387552,3,MABE_task1_60stride60
MPJPE,transformer,type-transformer_mu_sigma-True,0.025829741380540668,3,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-False,1.0,3,MABE_task1_60stride60
PCK@0.01,GRU,type-GRU_mu_sigma-True,1.0,3,MABE_task1_60stride60
PCK@0.01,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,3,MABE_task1_60stride60
PCK@0.01,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,3,MABE_task1_60stride60
