index,id_sample,id_hole,keypoint,method,method_param,metric_value,metric_type,length_hole
15423,175,0,left_back,transformer,type-transformer_mu_sigma-True,0.9252873563218391,coverage_2sigma,58.0
15424,175,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.05097593251129667,RMSE,58.0
15425,175,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.050262519468645295,MPJPE,58.0
15426,175,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,58.0
15427,175,0,left_back,linear_interp,linear_interp,0.05517458906683859,RMSE,58.0
15428,175,0,left_back,linear_interp,linear_interp,0.04902087682000579,MPJPE,58.0
15429,175,0,left_back,linear_interp,linear_interp,1.0,PCK@0.01,58.0
15430,175,-1,all,linear_interp,linear_interp,1.0,PCK@0.01,58.0
15431,175,-1,all,linear_interp,linear_interp,0.0490208768200058,MPJPE,58.0
15432,175,-1,all,linear_interp,linear_interp,0.05517458906683859,RMSE,58.0
15433,175,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,58.0
15434,175,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.0403603906912853,MPJPE,58.0
15435,175,-1,all,STS_GCN,type-STS_GCN_mu_sigma-False,0.043077243104866256,RMSE,58.0
15436,175,-1,all,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,58.0
15437,175,-1,all,TCN,type-TCN_mu_sigma-False,0.029330653723215035,MPJPE,58.0
15438,175,-1,all,TCN,type-TCN_mu_sigma-False,0.03101676938558993,RMSE,58.0
15439,175,-1,all,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,58.0
15440,175,-1,all,GRU,type-GRU_mu_sigma-False,0.049141744625428745,MPJPE,58.0
15441,175,-1,all,GRU,type-GRU_mu_sigma-False,0.051506100297596676,RMSE,58.0
15442,175,-1,all,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,58.0
15443,175,-1,all,GRU,type-GRU_mu_sigma-True,0.033315807046119486,MPJPE,58.0
15444,175,-1,all,GRU,type-GRU_mu_sigma-True,0.03580612202678327,RMSE,58.0
15445,175,-1,all,GRU,type-GRU_mu_sigma-True,0.06569129002538887,mean_uncertainty,58.0
15446,175,-1,all,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,58.0
15447,175,-1,all,transformer,type-transformer_mu_sigma-False,0.03464702610109918,MPJPE,58.0
15448,175,-1,all,transformer,type-transformer_mu_sigma-False,0.03634152819730038,RMSE,58.0
15449,175,-1,all,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,58.0
15450,175,-1,all,transformer,type-transformer_mu_sigma-True,0.03944583149712975,MPJPE,58.0
15451,175,-1,all,transformer,type-transformer_mu_sigma-True,0.04165650542584934,RMSE,58.0
15452,175,-1,all,transformer,type-transformer_mu_sigma-True,0.0528901525413968,mean_uncertainty,58.0
15453,175,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,58.0
15454,175,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.050262519468645295,MPJPE,58.0
15455,175,-1,all,ST_GCN,type-ST_GCN_mu_sigma-False,0.05097593251129667,RMSE,58.0
15456,176,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.044294132519680444,RMSE,1.0
15457,176,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,0.044294132519680444,MPJPE,1.0
15458,176,0,left_back,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,1.0
15459,176,0,left_back,TCN,type-TCN_mu_sigma-False,0.08665204174337628,RMSE,1.0
15460,176,0,left_back,TCN,type-TCN_mu_sigma-False,0.08665204174337628,MPJPE,1.0
15461,176,0,left_back,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,1.0
15462,176,0,left_back,GRU,type-GRU_mu_sigma-False,0.025863049825160713,RMSE,1.0
15463,176,0,left_back,GRU,type-GRU_mu_sigma-False,0.025863049825160713,MPJPE,1.0
15464,176,0,left_back,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,1.0
15465,176,0,left_back,GRU,type-GRU_mu_sigma-True,0.012126200205359667,RMSE,1.0
15466,176,0,left_back,GRU,type-GRU_mu_sigma-True,0.012126200205359667,MPJPE,1.0
15467,176,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,1.0
15468,176,0,left_back,GRU,type-GRU_mu_sigma-True,0.04726219167095223,mean_uncertainty,1.0
15469,176,0,left_back,GRU,type-GRU_mu_sigma-True,0.04726219167095223,max_uncertainty,1.0
15470,176,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,1.0
15471,176,0,left_back,GRU,type-GRU_mu_sigma-True,1.0,coverage_2sigma,1.0
15472,176,0,left_back,transformer,type-transformer_mu_sigma-False,0.015018000881292758,RMSE,1.0
15473,176,0,left_back,transformer,type-transformer_mu_sigma-False,0.015018000881292758,MPJPE,1.0
15474,176,0,left_back,transformer,type-transformer_mu_sigma-False,1.0,PCK@0.01,1.0
15475,176,0,left_back,transformer,type-transformer_mu_sigma-True,0.011627300673748356,RMSE,1.0
15476,176,0,left_back,transformer,type-transformer_mu_sigma-True,0.011627300673748356,MPJPE,1.0
15477,176,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,PCK@0.01,1.0
15478,176,0,left_back,transformer,type-transformer_mu_sigma-True,0.0236968994140625,mean_uncertainty,1.0
15479,176,0,left_back,transformer,type-transformer_mu_sigma-True,0.0236968994140625,max_uncertainty,1.0
15480,176,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,bandexcess_2sigma,1.0
15481,176,0,left_back,transformer,type-transformer_mu_sigma-True,1.0,coverage_2sigma,1.0
15482,176,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.06948810949188536,RMSE,1.0
15483,176,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,0.06948810949188536,MPJPE,1.0
15484,176,0,left_back,ST_GCN,type-ST_GCN_mu_sigma-False,1.0,PCK@0.01,1.0
15485,176,0,left_back,linear_interp,linear_interp,0.01221325179391408,RMSE,1.0
15486,176,0,left_back,linear_interp,linear_interp,0.01221325179391408,MPJPE,1.0
15487,176,0,left_back,linear_interp,linear_interp,1.0,PCK@0.01,1.0
15488,176,1,left_coord,STS_GCN,type-STS_GCN_mu_sigma-False,0.02276376955196799,RMSE,25.0
15489,176,1,left_coord,STS_GCN,type-STS_GCN_mu_sigma-False,0.02100436873317257,MPJPE,25.0
15490,176,1,left_coord,STS_GCN,type-STS_GCN_mu_sigma-False,1.0,PCK@0.01,25.0
15491,176,1,left_coord,TCN,type-TCN_mu_sigma-False,0.02900872956365514,RMSE,25.0
15492,176,1,left_coord,TCN,type-TCN_mu_sigma-False,0.028761330198344103,MPJPE,25.0
15493,176,1,left_coord,TCN,type-TCN_mu_sigma-False,1.0,PCK@0.01,25.0
15494,176,1,left_coord,GRU,type-GRU_mu_sigma-False,0.011746845065650139,RMSE,25.0
15495,176,1,left_coord,GRU,type-GRU_mu_sigma-False,0.011159188544245245,MPJPE,25.0
15496,176,1,left_coord,GRU,type-GRU_mu_sigma-False,1.0,PCK@0.01,25.0
15497,176,1,left_coord,GRU,type-GRU_mu_sigma-True,0.011788904569826295,RMSE,25.0
15498,176,1,left_coord,GRU,type-GRU_mu_sigma-True,0.011359257620855812,MPJPE,25.0
15499,176,1,left_coord,GRU,type-GRU_mu_sigma-True,1.0,PCK@0.01,25.0
15500,176,1,left_coord,GRU,type-GRU_mu_sigma-True,0.04549858081717214,mean_uncertainty,25.0
15501,176,1,left_coord,GRU,type-GRU_mu_sigma-True,0.04718017578125,max_uncertainty,25.0
15502,176,1,left_coord,GRU,type-GRU_mu_sigma-True,1.0,bandexcess_2sigma,25.0
15503,176,1,left_coord,GRU,type-GRU_mu_sigma-True,1.0,coverage_2sigma,25.0
