method,method_param,RMSE,repeat,dataset
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.03186636342561753,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03433831852020217,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03227508065120184,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.034121892346276335,0,Fish_v3_60stride60
linear_interp,linear_interp,0.08010987460756387,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.02943282015483278,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03345541247562614,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.029434489831240897,0,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03249594398796641,0,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.032011619057683384,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.034695133464456705,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03246624278517867,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03436915221846708,1,Fish_v3_60stride60
linear_interp,linear_interp,0.08154272026419225,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.029799422583410583,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.0337793126135664,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.029682531340869175,1,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03272376402224559,1,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.03202502060277199,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03470939053246874,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03229446568017707,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.034419613415584395,2,Fish_v3_60stride60
linear_interp,linear_interp,0.0806690869641756,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.029624781316617596,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03380225527608374,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.02951248364124959,2,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03265488380617738,2,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.03192596006354283,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03447083191804774,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03234942661870833,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.0342306106891199,3,Fish_v3_60stride60
linear_interp,linear_interp,0.08096486561560813,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.029577587968566015,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03373236836359888,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.029426231600501694,3,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03262356973292331,3,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120,0.031687165269618074,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.03441020605216165,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120,0.03211793366819003,4,Fish_v3_60stride60
GRU,type-GRU_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.034026165346550105,4,Fish_v3_60stride60
linear_interp,linear_interp,0.0796230868466766,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120,0.029213145333851755,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-False_name-Fish_v3_60stride120_fish2,0.0333890766971796,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120,0.029151462441757498,4,Fish_v3_60stride60
transformer,type-transformer_mu_sigma-True_name-Fish_v3_60stride120_fish2,0.03230869671132623,4,Fish_v3_60stride60
